sample_id,split,overlap_ratio,cer_mixed,cer_sep,cer_sep_trim,deg_mixed,deg_sep,deg_sep_trim,cer_fixed_mixed,cer_fixed_sep,cer_fixed_sep_trim,cer_halluc_2way,cer_halluc_3way,cer_overlap_router,cer_oracle,choice_halluc_2way,choice_halluc_3way,choice_overlap_router
SyntheticOppositeOverlap_dev_01,dev,0.8,0.59375,0.3125,0.34375,0.88,0.8226,0.8226,0.59375,0.3125,0.34375,0.34375,0.3125,0.34375,0.3125,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticOppositeOverlap_dev_02,dev,0.8063,0.576923,0.615385,0.615385,0.8451,0.8824,0.8824,0.576923,0.615385,0.615385,0.576923,0.576923,0.615385,0.576923,fixed_mixed,fixed_mixed,fixed_sep_trim
SyntheticOppositeOverlap_dev_03,dev,0.8126,0.9,0.65,0.65,0.6944,0.7576,0.7576,0.9,0.65,0.65,0.9,0.9,0.65,0.65,fixed_mixed,fixed_mixed,fixed_sep_trim
SyntheticOppositeOverlap_dev_04,dev,0.8189,0.833333,0.444444,0.444444,0.5714,0.7317,0.7317,0.833333,0.444444,0.444444,0.833333,0.833333,0.444444,0.444444,fixed_mixed,fixed_mixed,fixed_sep_trim
SyntheticOppositeOverlap_dev_05,dev,0.8253,0.72,0.4,0.4,0.8625,0.8226,0.8226,0.72,0.4,0.4,0.4,0.4,0.4,0.4,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticOppositeOverlap_dev_06,dev,0.8316,7.857143,0.571429,0.47619,19.8929,0.7692,0.7805,7.857143,0.571429,0.47619,0.47619,0.571429,0.47619,0.47619,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticOppositeOverlap_dev_07,dev,0.8379,0.666667,0.222222,0.277778,0.8036,0.75,0.75,0.666667,0.222222,0.277778,0.277778,0.222222,0.277778,0.222222,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticOppositeOverlap_dev_08,dev,0.8442,0.6,0.3,0.25,0.875,0.8125,0.8125,0.6,0.3,0.25,0.25,0.3,0.25,0.25,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticOppositeOverlap_dev_09,dev,0.8505,10.642857,0.785714,0.714286,22.6087,0.9091,0.9091,10.642857,0.785714,0.714286,0.714286,0.785714,0.714286,0.714286,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticOppositeOverlap_dev_10,dev,0.8568,5.741935,0.580645,0.580645,11.52,0.8667,0.8667,5.741935,0.580645,0.580645,0.580645,0.580645,0.580645,0.580645,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticOppositeOverlap_test_01,test,0.8632,0.542857,0.457143,0.4,0.9615,0.8571,0.8846,0.542857,0.457143,0.4,0.4,0.457143,0.4,0.4,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticOppositeOverlap_test_02,test,0.8695,0.64,0.4,0.32,0.8382,0.8036,0.8036,0.64,0.4,0.32,0.32,0.4,0.32,0.32,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticOppositeOverlap_test_03,test,0.8758,0.766667,0.266667,0.266667,0.8571,0.8824,0.8824,0.766667,0.266667,0.266667,0.766667,0.766667,0.266667,0.266667,fixed_mixed,fixed_mixed,fixed_sep_trim
SyntheticOppositeOverlap_test_04,test,0.8821,0.842105,0.684211,0.684211,0.6857,0.7105,0.7143,0.842105,0.684211,0.684211,0.842105,0.842105,0.684211,0.684211,fixed_mixed,fixed_mixed,fixed_sep_trim
SyntheticOppositeOverlap_test_05,test,0.8884,0.8,0.65,0.65,0.7105,0.75,0.7692,0.8,0.65,0.65,0.8,0.8,0.65,0.65,fixed_mixed,fixed_mixed,fixed_sep_trim
SyntheticOppositeOverlap_test_06,test,0.8947,0.653846,0.346154,0.307692,0.8226,0.8226,0.8226,0.653846,0.346154,0.307692,0.653846,0.653846,0.307692,0.307692,fixed_mixed,fixed_mixed,fixed_sep_trim
SyntheticOppositeOverlap_test_07,test,0.9011,0.666667,0.5,0.541667,0.8406,0.8136,0.8254,0.666667,0.5,0.541667,0.541667,0.5,0.541667,0.5,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticOppositeOverlap_test_08,test,0.9074,0.666667,0.333333,0.333333,0.8333,0.7576,0.7576,0.666667,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticOppositeOverlap_test_09,test,0.9137,0.636364,0.5,0.227273,0.8036,0.78,0.8125,0.636364,0.5,0.227273,0.636364,0.5,0.227273,0.227273,fixed_mixed,fixed_sep,fixed_sep_trim
SyntheticOppositeOverlap_test_10,test,0.92,0.4,0.5,0.5,0.8644,0.8226,0.8226,0.4,0.5,0.5,0.5,0.5,0.5,0.4,fixed_sep_trim,fixed_sep,fixed_sep_trim
