model_name,routing_average_cer,classification_accuracy,macro_f1,expected_compute_cost,fallback_rate,sample_count,label,overlap_ratio
previous_audio_depth_mvp,0.208,1.0,0.333333,1.6,0.0,1,experimental/frontier,0.3
previous_audio_depth_mvp,0.2,1.0,0.333333,1.6,0.0,2,experimental/frontier,0.4
previous_audio_depth_mvp,0.570784,0.8,0.296296,1.6,0.0,10,experimental/frontier,0.45
previous_audio_depth_mvp,0.350502,0.846154,0.305556,1.6,0.0,13,experimental/frontier,0.7
previous_audio_depth_mvp,0.2036,1.0,0.333333,1.6,0.0,2,experimental/frontier,0.8
previous_audio_depth_mvp,0.175748,0.8,0.296296,1.6,0.0,10,experimental/frontier,0.9
previous_model_zoo_best,0.488871,0.545455,0.235294,1.6,0.0,11,experimental/frontier,0.0
previous_model_zoo_best,0.2445,0.0,0.0,1.6,0.0,4,experimental/frontier,0.1
previous_model_zoo_best,0.522489,0.545455,0.235294,1.6,0.0,11,experimental/frontier,0.2
previous_model_zoo_best,0.208,1.0,0.333333,1.6,0.0,1,experimental/frontier,0.3
previous_model_zoo_best,0.2,1.0,0.333333,1.6,0.0,2,experimental/frontier,0.4
previous_model_zoo_best,0.570784,0.8,0.296296,1.6,0.0,10,experimental/frontier,0.45
previous_model_zoo_best,0.350502,0.846154,0.305556,1.6,0.0,13,experimental/frontier,0.7
previous_model_zoo_best,0.2036,1.0,0.333333,1.6,0.0,2,experimental/frontier,0.8
previous_model_zoo_best,0.175748,0.8,0.296296,1.6,0.0,10,experimental/frontier,0.9
