model_name,mode,epoch,train_loss,val_loss,val_accuracy,status
hybrid_late_fusion,deployable,9,0.327256,0.270131,0.909091,trained
hybrid_late_fusion,deployable,10,0.307619,0.261103,0.909091,trained
hybrid_late_fusion,deployable,11,0.298721,0.250222,0.909091,trained
hybrid_late_fusion,deployable,12,0.262244,0.225391,0.909091,trained
hybrid_late_fusion,deployable,13,0.241028,0.208329,0.909091,trained
hybrid_late_fusion,deployable,14,0.205049,0.189269,0.909091,trained
hybrid_late_fusion,deployable,15,0.161333,0.19344,0.909091,trained
hybrid_late_fusion,deployable,16,0.129707,0.167016,0.909091,trained
hybrid_late_fusion,deployable,17,0.089263,0.167993,0.909091,trained
hybrid_late_fusion,deployable,18,0.061754,0.159876,0.909091,trained
hybrid_late_fusion,deployable,19,0.04011,0.159966,0.909091,trained
hybrid_late_fusion,deployable,20,0.027532,0.177299,0.909091,trained
hybrid_late_fusion,deployable,21,0.020017,0.150382,0.909091,trained
hybrid_late_fusion,deployable,22,0.012494,0.182605,0.909091,trained
hybrid_late_fusion,deployable,23,0.009667,0.183403,0.909091,trained
hybrid_late_fusion,deployable,24,0.006922,0.131174,0.909091,trained
hybrid_late_fusion,deployable,25,0.006879,0.153526,0.909091,trained
hybrid_late_fusion,deployable,26,0.004811,0.354115,0.818182,trained
hybrid_late_fusion,deployable,27,0.004284,0.292219,0.818182,trained
hybrid_late_fusion,deployable,28,0.003447,0.175527,0.909091,trained
hybrid_late_fusion,deployable,29,0.003159,0.112137,0.909091,trained
hybrid_late_fusion,deployable,30,0.002692,0.136586,0.909091,trained
hybrid_late_fusion,deployable,31,0.002262,0.228929,0.818182,trained
hybrid_late_fusion,deployable,32,0.002061,0.23945,0.818182,trained
hybrid_late_fusion,deployable,33,0.001801,0.232793,0.818182,trained
hybrid_late_fusion,deployable,34,0.001684,0.202068,0.909091,trained
hybrid_late_fusion,deployable,35,0.001486,0.195016,0.909091,trained
analysis_upper_bound_cnn,analysis,1,0.756055,0.952475,0.727273,trained
analysis_upper_bound_cnn,analysis,2,0.448886,0.797496,0.727273,trained
analysis_upper_bound_cnn,analysis,3,0.388302,0.67419,0.727273,trained
analysis_upper_bound_cnn,analysis,4,0.314143,0.613951,0.727273,trained
analysis_upper_bound_cnn,analysis,5,0.269271,0.573025,0.727273,trained
analysis_upper_bound_cnn,analysis,6,0.213665,0.528343,0.727273,trained
analysis_upper_bound_cnn,analysis,7,0.187272,0.495705,0.727273,trained
analysis_upper_bound_cnn,analysis,8,0.19528,0.497157,0.727273,trained
analysis_upper_bound_cnn,analysis,9,0.115565,0.50195,0.818182,trained
analysis_upper_bound_cnn,analysis,10,0.102515,0.50458,0.818182,trained
analysis_upper_bound_cnn,analysis,11,0.077623,0.497292,0.818182,trained
analysis_upper_bound_cnn,analysis,12,0.077205,0.432352,0.818182,trained
analysis_upper_bound_cnn,analysis,13,0.057733,0.403134,0.818182,trained
analysis_upper_bound_cnn,analysis,14,0.049126,0.418877,0.818182,trained
analysis_upper_bound_cnn,analysis,15,0.043813,0.444629,0.727273,trained
analysis_upper_bound_cnn,analysis,16,0.027488,0.414533,0.727273,trained
analysis_upper_bound_cnn,analysis,17,0.0228,0.427035,0.727273,trained
analysis_upper_bound_cnn,analysis,18,0.0167,0.418038,0.727273,trained
analysis_upper_bound_cnn,analysis,19,0.012754,0.378217,0.818182,trained
analysis_upper_bound_cnn,analysis,20,0.011778,0.365428,0.818182,trained
analysis_upper_bound_cnn,analysis,21,0.012021,0.375065,0.818182,trained
analysis_upper_bound_cnn,analysis,22,0.008988,0.363587,0.818182,trained
analysis_upper_bound_cnn,analysis,23,0.008373,0.389182,0.727273,trained
analysis_upper_bound_cnn,analysis,24,0.006575,0.404757,0.727273,trained
analysis_upper_bound_cnn,analysis,25,0.005446,0.427662,0.727273,trained
analysis_upper_bound_cnn,analysis,26,0.005058,0.425514,0.727273,trained
analysis_upper_bound_cnn,analysis,27,0.005265,0.395393,0.818182,trained
analysis_upper_bound_cnn,analysis,28,0.00378,0.388316,0.818182,trained
