window_id,overlap_ratio,overlap_label,always_mixed_cpwer,always_separated_cpwer,router_v2_cpwer,router_v2_method,oracle_best_cpwer,lang_id_entropy,length_ratio,max_cr,n_scripts,lang_flag,silence_flag,multilingual_flag,repetition_flag,mode_flag,corrected_decision,corrected_cpwer,lang_only_decision,lang_only_cpwer,silence_only_decision,silence_only_cpwer,mode_only_decision,mode_only_cpwer,lang_silence_decision,lang_silence_cpwer,lang_mode_decision,lang_mode_cpwer,silence_mode_decision,silence_mode_cpwer
58,0.0,NoOverlap,2.0,1.0,1.0,separated,1.0,0.0,0.952941,1.265625,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
59,0.0,NoOverlap,1.0,1.0,1.0,mixed,1.0,0.325552,84.0,1.308108,1,False,True,False,False,False,mixed,1.0,separated,1.0,mixed,1.0,separated,1.0,mixed,1.0,separated,1.0,mixed,1.0
60,0.0346,NoOverlap,1.0,1.0,1.0,mixed,1.0,0.0,0.0,0.0,0,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
61,0.0785,LightOverlap,1.0,1.0,1.0,mixed,1.0,0.0,0.958763,1.285714,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
62,0.0274,NoOverlap,1.0,1.0,1.0,separated,1.0,0.0,0.0,0.0,0,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
63,0.0848,LightOverlap,1.0,3.0,1.0,mixed,1.0,1.426068,67.0,0.922535,3,True,True,True,False,True,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0
64,0.0,NoOverlap,1.0,1.0,1.0,mixed,1.0,0.0,0.0,0.0,0,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
65,0.1842,LightOverlap,1.0,2.6666666666666665,1.0,mixed,1.0,1.313896,154.0,1.974359,2,True,True,False,False,False,mixed,1.0,mixed,1.0,mixed,1.0,separated,2.666667,mixed,1.0,mixed,1.0,mixed,1.0
66,0.1743,LightOverlap,1.0,1.0,1.0,mixed,1.0,0.0,7.0,0.65625,1,False,True,False,False,False,mixed,1.0,separated,1.0,mixed,1.0,separated,1.0,mixed,1.0,separated,1.0,mixed,1.0
67,0.0547,LightOverlap,1.0,1.0,1.0,mixed,1.0,0.0,2.0,0.428571,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
68,0.3405,MidOverlap,1.0,3.0,1.0,mixed,1.0,1.465538,1.73494,1.115702,4,True,False,True,False,True,mixed,1.0,mixed,1.0,separated,3.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0
69,0.143,LightOverlap,1.0,1.5,1.0,mixed,1.0,0.967193,1.112069,1.408537,3,True,False,True,False,True,mixed,1.0,mixed,1.0,separated,1.5,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0
70,0.2049,MidOverlap,1.0,1.6666666666666667,1.0,mixed,1.0,1.171037,2.358974,0.926174,3,True,True,True,False,True,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0
71,0.1588,LightOverlap,1.0,1.0,1.0,mixed,1.0,0.0,0.0,0.0,0,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
72,0.2605,MidOverlap,1.0,1.75,1.0,mixed,1.0,1.113908,116.0,1.066298,2,True,True,False,False,False,mixed,1.0,mixed,1.0,mixed,1.0,separated,1.75,mixed,1.0,mixed,1.0,mixed,1.0
73,0.1979,LightOverlap,1.0,4.333333333333333,1.0,mixed,1.0,1.411981,119.0,0.927632,3,True,True,True,False,True,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0
74,0.3785,MidOverlap,1.0,1.5,1.0,mixed,1.0,1.384432,102.0,1.027972,2,True,True,False,False,False,mixed,1.0,mixed,1.0,mixed,1.0,separated,1.5,mixed,1.0,mixed,1.0,mixed,1.0
75,0.0434,NoOverlap,1.0,1.0,1.0,separated,1.0,0.0,0.0,0.0,0,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
76,0.0,NoOverlap,1.0,3.0,1.0,mixed,1.0,0.940959,74.0,1.021505,2,True,True,False,False,False,mixed,1.0,mixed,1.0,mixed,1.0,separated,3.0,mixed,1.0,mixed,1.0,mixed,1.0
