dataset,track_id,hallucinated,cr,lang_id_entropy,cr_flag,lang_id_flag,cer,cr_phase_curve
gold,con_004_pro_007_r0.4_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.4_sep2,0,0.731707,0.0,0,0,0.222222,0.7317
gold,con_004_pro_007_r0.45_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.45_sep2,0,0.731707,0.0,0,0,0.444444,0.7317
gold,con_004_pro_007_r0.5_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.5_sep2,0,0.731707,0.0,0,0,0.444444,0.7317
gold,con_004_pro_007_r0.6_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.6_sep2,0,0.731707,0.0,0,0,0.222222,0.7317
gold,con_004_pro_007_r0.7_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.7_sep2,0,0.731707,0.0,0,0,0.444444,0.7317
gold,con_004_pro_007_r0.8_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.8_sep2,0,0.731707,0.0,0,0,0.222222,0.7317
gold,con_004_pro_007_r0.9_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.9_sep2,0,0.731707,0.0,0,0,0.222222,0.7317
gold,con_005_pro_014_r0.0_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_005_pro_014_r0.0_sep2,0,0.75,0.0,0,0,0.727273,0.75
gold,con_005_pro_014_r0.05_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_005_pro_014_r0.05_sep2,0,0.765957,0.0,0,0,0.636364,0.766
gold,con_005_pro_014_r0.1_sep1,0,0.710526,0.0,0,0,0.555556,0.7105
gold,con_005_pro_014_r0.1_sep2,0,0.765957,0.0,0,0,0.818182,0.766
gold,con_005_pro_014_r0.15_sep1,0,0.710526,0.0,0,0,0.555556,0.7105
gold,con_005_pro_014_r0.15_sep2,0,0.75,0.0,0,0,0.636364,0.75
gold,con_005_pro_014_r0.2_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_005_pro_014_r0.2_sep2,0,0.765957,0.0,0,0,0.636364,0.766
gold,con_005_pro_014_r0.25_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_005_pro_014_r0.25_sep2,0,0.765957,0.0,0,0,0.818182,0.766
gold,con_005_pro_014_r0.3_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_005_pro_014_r0.3_sep2,0,0.75,0.0,0,0,0.727273,0.75
gold,con_005_pro_014_r0.35_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_005_pro_014_r0.35_sep2,0,0.75,0.0,0,0,0.545455,0.75
gold,con_005_pro_014_r0.4_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_005_pro_014_r0.4_sep2,0,0.765957,0.0,0,0,0.818182,0.766
gold,con_005_pro_014_r0.45_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_005_pro_014_r0.45_sep2,0,0.75,0.0,0,0,0.727273,0.75
gold,con_005_pro_014_r0.5_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_005_pro_014_r0.5_sep2,0,0.75,0.0,0,0,0.545455,0.75
gold,con_005_pro_014_r0.6_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_005_pro_014_r0.6_sep2,0,0.75,0.0,0,0,0.545455,0.75
gold,con_005_pro_014_r0.7_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_005_pro_014_r0.7_sep2,0,0.75,0.0,0,0,0.636364,0.75
gold,con_005_pro_014_r0.8_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_005_pro_014_r0.8_sep2,0,0.75,0.0,0,0,0.454545,0.75
gold,con_005_pro_014_r0.9_sep1,0,0.731707,0.0,0,0,0.555556,0.7317
gold,con_005_pro_014_r0.9_sep2,0,0.710526,0.0,0,0,0.454545,0.7105
gold,con_006_pro_006_r0.0_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.0_sep2,0,0.775,0.439497,0,0,0.75,0.775
gold,con_006_pro_006_r0.05_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.05_sep2,1,16.333333,0.0,1,0,24.25,16.3333
gold,con_006_pro_006_r0.1_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.1_sep2,1,16.333333,0.0,1,0,24.25,16.3333
gold,con_006_pro_006_r0.15_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.15_sep2,1,16.333333,0.0,1,0,24.25,16.3333
gold,con_006_pro_006_r0.2_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.2_sep2,0,0.770833,0.391244,0,0,0.875,0.7708
gold,con_006_pro_006_r0.25_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.25_sep2,0,0.851064,0.371232,0,0,1.0,0.8511
gold,con_006_pro_006_r0.3_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.3_sep2,0,0.710526,0.0,0,0,0.75,0.7105
gold,con_006_pro_006_r0.35_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.35_sep2,0,0.775,0.439497,0,0,0.75,0.775
gold,con_006_pro_006_r0.4_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.4_sep2,0,0.769231,0.0,0,0,0.875,0.7692
gold,con_006_pro_006_r0.45_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.45_sep2,0,0.738095,0.439497,0,0,0.5,0.7381
gold,con_006_pro_006_r0.5_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.5_sep2,0,0.738095,0.439497,0,0,0.5,0.7381
gold,con_006_pro_006_r0.6_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.6_sep2,0,0.75,0.0,0,0,0.625,0.75
gold,con_006_pro_006_r0.7_sep1,0,0.710526,0.0,0,0,0.444444,0.7105
gold,con_006_pro_006_r0.7_sep2,0,0.804878,0.0,0,0,0.625,0.8049
gold,con_006_pro_006_r0.8_sep1,0,0.75,0.0,0,0,0.333333,0.75
gold,con_006_pro_006_r0.8_sep2,0,0.738095,0.439497,0,0,0.5,0.7381
gold,con_006_pro_006_r0.9_sep1,0,0.75,0.0,0,0,0.333333,0.75
gold,con_006_pro_006_r0.9_sep2,0,0.75,0.0,0,0,0.625,0.75
gold,con_007_pro_013_r0.0_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.0_sep2,0,0.710526,0.0,0,0,0.333333,0.7105
gold,con_007_pro_013_r0.05_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.05_sep2,0,0.75,0.0,0,0,0.555556,0.75
gold,con_007_pro_013_r0.1_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.1_sep2,0,0.731707,0.0,0,0,0.444444,0.7317
gold,con_007_pro_013_r0.15_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.15_sep2,0,0.75,0.0,0,0,0.222222,0.75
gold,con_007_pro_013_r0.2_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.2_sep2,0,0.75,0.0,0,0,0.222222,0.75
gold,con_007_pro_013_r0.25_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.25_sep2,0,0.75,0.0,0,0,0.222222,0.75
gold,con_007_pro_013_r0.3_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.3_sep2,0,0.75,0.0,0,0,0.222222,0.75
gold,con_007_pro_013_r0.35_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.35_sep2,0,0.75,0.0,0,0,0.222222,0.75
gold,con_007_pro_013_r0.4_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.4_sep2,0,0.75,0.0,0,0,0.222222,0.75
gold,con_007_pro_013_r0.45_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.45_sep2,0,0.75,0.0,0,0,0.222222,0.75
gold,con_007_pro_013_r0.5_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.5_sep2,0,0.75,0.0,0,0,0.222222,0.75
gold,con_007_pro_013_r0.6_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.6_sep2,0,0.75,0.0,0,0,0.222222,0.75
gold,con_007_pro_013_r0.7_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.7_sep2,0,0.75,0.0,0,0,0.222222,0.75
gold,con_007_pro_013_r0.8_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.8_sep2,0,0.75,0.0,0,0,0.222222,0.75
gold,con_007_pro_013_r0.9_sep1,0,0.710526,0.0,0,0,0.222222,0.7105
gold,con_007_pro_013_r0.9_sep2,0,0.75,0.0,0,0,0.222222,0.75
gold,con_008_pro_005_r0.0_sep1,0,0.78,0.0,0,0,0.615385,0.78
gold,con_008_pro_005_r0.0_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_008_pro_005_r0.05_sep1,0,0.78,0.0,0,0,0.692308,0.78
gold,con_008_pro_005_r0.05_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_008_pro_005_r0.1_sep1,0,0.78,0.0,0,0,0.615385,0.78
gold,con_008_pro_005_r0.1_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_008_pro_005_r0.15_sep1,0,0.78,0.0,0,0,0.615385,0.78
gold,con_008_pro_005_r0.15_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_008_pro_005_r0.2_sep1,0,0.78,0.0,0,0,0.615385,0.78
gold,con_008_pro_005_r0.2_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_008_pro_005_r0.25_sep1,0,0.78,0.0,0,0,0.615385,0.78
gold,con_008_pro_005_r0.25_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_008_pro_005_r0.3_sep1,0,0.78,0.0,0,0,0.615385,0.78
gold,con_008_pro_005_r0.3_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_008_pro_005_r0.35_sep1,0,0.78,0.0,0,0,0.692308,0.78
gold,con_008_pro_005_r0.35_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_008_pro_005_r0.4_sep1,0,0.78,0.0,0,0,0.692308,0.78
gold,con_008_pro_005_r0.4_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_008_pro_005_r0.45_sep1,0,0.78,0.0,0,0,0.692308,0.78
gold,con_008_pro_005_r0.45_sep2,0,0.757576,0.503258,0,0,0.444444,0.7576
gold,con_008_pro_005_r0.5_sep1,0,0.78,0.0,0,0,0.692308,0.78
gold,con_008_pro_005_r0.5_sep2,0,0.757576,0.503258,0,0,0.444444,0.7576
gold,con_008_pro_005_r0.6_sep1,0,0.78,0.0,0,0,0.692308,0.78
gold,con_008_pro_005_r0.6_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_008_pro_005_r0.7_sep1,0,0.78,0.0,0,0,0.692308,0.78
gold,con_008_pro_005_r0.7_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_008_pro_005_r0.8_sep1,0,0.78,0.0,0,0,0.692308,0.78
gold,con_008_pro_005_r0.8_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_008_pro_005_r0.9_sep1,0,0.78,0.0,0,0,0.692308,0.78
gold,con_008_pro_005_r0.9_sep2,0,0.757576,0.503258,0,0,0.333333,0.7576
gold,con_009_pro_012_r0.0_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.0_sep2,0,0.727273,0.0,0,0,0.875,0.7273
gold,con_009_pro_012_r0.05_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.05_sep2,0,0.727273,0.0,0,0,0.875,0.7273
gold,con_009_pro_012_r0.1_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.1_sep2,0,0.727273,0.0,0,0,0.875,0.7273
gold,con_009_pro_012_r0.15_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.15_sep2,0,0.724138,0.0,0,0,0.875,0.7241
gold,con_009_pro_012_r0.2_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.2_sep2,0,0.727273,0.0,0,0,0.875,0.7273
gold,con_009_pro_012_r0.25_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.25_sep2,0,0.68,0.863121,0,1,0.375,0.68
gold,con_009_pro_012_r0.3_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.3_sep2,0,0.727273,0.0,0,0,0.875,0.7273
gold,con_009_pro_012_r0.35_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.35_sep2,0,0.68,0.863121,0,1,0.375,0.68
gold,con_009_pro_012_r0.4_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.4_sep2,0,0.714286,0.811278,0,0,0.375,0.7143
gold,con_009_pro_012_r0.45_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.45_sep2,0,0.68,0.863121,0,1,0.375,0.68
gold,con_009_pro_012_r0.5_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.5_sep2,0,0.714286,0.811278,0,0,0.375,0.7143
gold,con_009_pro_012_r0.6_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.6_sep2,0,0.714286,0.811278,0,0,0.375,0.7143
gold,con_009_pro_012_r0.7_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.7_sep2,0,0.714286,0.811278,0,0,0.375,0.7143
gold,con_009_pro_012_r0.8_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.8_sep2,0,0.68,0.863121,0,1,0.375,0.68
gold,con_009_pro_012_r0.9_sep1,0,0.631579,0.0,0,0,1.0,0.6316
gold,con_009_pro_012_r0.9_sep2,0,0.68,0.863121,0,1,0.375,0.68
gold,con_010_pro_004_r0.0_sep1,0,0.717949,0.468996,0,0,0.5,0.7179
gold,con_010_pro_004_r0.0_sep2,0,0.873016,0.297472,0,0,0.473684,0.873
gold,con_010_pro_004_r0.05_sep1,0,0.717949,0.468996,0,0,0.5,0.7179
gold,con_010_pro_004_r0.05_sep2,0,0.866667,0.309543,0,0,0.631579,0.8667
gold,con_010_pro_004_r0.1_sep1,0,0.717949,0.468996,0,0,0.5,0.7179
gold,con_010_pro_004_r0.1_sep2,0,0.866667,0.309543,0,0,0.631579,0.8667
gold,con_010_pro_004_r0.15_sep1,0,0.717949,0.468996,0,0,0.5,0.7179
gold,con_010_pro_004_r0.15_sep2,0,0.866667,0.309543,0,0,0.631579,0.8667
gold,con_010_pro_004_r0.2_sep1,0,0.717949,0.468996,0,0,0.5,0.7179
gold,con_010_pro_004_r0.2_sep2,0,0.873016,0.297472,0,0,0.315789,0.873
gold,con_010_pro_004_r0.25_sep1,0,0.717949,0.468996,0,0,0.5,0.7179
gold,con_010_pro_004_r0.25_sep2,0,0.866667,0.309543,0,0,0.631579,0.8667
gold,con_010_pro_004_r0.3_sep1,0,0.775,0.439497,0,0,0.5,0.775
gold,con_010_pro_004_r0.3_sep2,0,0.852459,0.309543,0,0,0.631579,0.8525
gold,con_010_pro_004_r0.35_sep1,0,0.775,0.439497,0,0,0.5,0.775
gold,con_010_pro_004_r0.35_sep2,0,0.852459,0.309543,0,0,0.631579,0.8525
gold,con_010_pro_004_r0.4_sep1,0,0.775,0.439497,0,0,0.5,0.775
gold,con_010_pro_004_r0.4_sep2,0,0.852459,0.309543,0,0,0.631579,0.8525
gold,con_010_pro_004_r0.45_sep1,0,0.775,0.439497,0,0,0.5,0.775
gold,con_010_pro_004_r0.45_sep2,0,0.866667,0.309543,0,0,0.631579,0.8667
gold,con_010_pro_004_r0.5_sep1,0,0.775,0.439497,0,0,0.5,0.775
gold,con_010_pro_004_r0.5_sep2,0,0.866667,0.309543,0,0,0.631579,0.8667
gold,con_010_pro_004_r0.6_sep1,0,0.775,0.439497,0,0,0.5,0.775
gold,con_010_pro_004_r0.6_sep2,0,0.866667,0.309543,0,0,0.631579,0.8667
gold,con_010_pro_004_r0.7_sep1,0,0.775,0.439497,0,0,0.5,0.775
gold,con_010_pro_004_r0.7_sep2,0,0.866667,0.309543,0,0,0.631579,0.8667
gold,con_010_pro_004_r0.8_sep1,0,0.775,0.439497,0,0,0.5,0.775
gold,con_010_pro_004_r0.8_sep2,0,0.982143,0.297472,0,0,0.578947,0.9821
gold,con_010_pro_004_r0.9_sep1,0,0.775,0.439497,0,0,0.5,0.775
gold,con_010_pro_004_r0.9_sep2,0,0.982143,0.297472,0,0,0.578947,0.9821
gold,con_011_pro_011_r0.0_sep1,0,0.857143,0.0,0,0,0.333333,0.8571
gold,con_011_pro_011_r0.0_sep2,0,0.742857,0.721928,0,0,0.583333,0.7429
gold,con_011_pro_011_r0.05_sep1,0,0.857143,0.0,0,0,0.333333,0.8571
gold,con_011_pro_011_r0.05_sep2,0,0.727273,0.0,0,0,0.666667,0.7273
