path,klass,name_ceremony,content_ceremony,compute_import,writes_doc,arith_ops,str_ratio,loc,disagreement
src/demo_wave85_presentation_writeback.py,ceremony,True,True,False,True,0,0.4193,203,False
src/demo_wave86_presentation_writeback.py,ceremony,True,True,False,True,0,0.419,203,False
src/demo_wave87_presentation_writeback.py,ceremony,True,True,False,True,0,0.4193,203,False
src/demo_wave88_presentation_writeback.py,ceremony,True,True,False,True,0,0.4197,203,False
src/demo_wave89_presentation_writeback.py,ceremony,True,True,False,True,0,0.4202,203,False
src/demo_wave8_presentation_writeback.py,ceremony,True,True,False,True,0,0.4116,205,False
src/demo_wave90_presentation_writeback.py,ceremony,True,True,False,True,0,0.4194,203,False
src/demo_wave91_presentation_writeback.py,ceremony,True,True,False,True,0,0.4193,203,False
src/demo_wave92_presentation_writeback.py,ceremony,True,True,False,True,0,0.419,203,False
src/demo_wave93_presentation_writeback.py,ceremony,True,True,False,True,0,0.4193,203,False
src/demo_wave94_presentation_writeback.py,ceremony,True,True,False,True,0,0.4197,203,False
src/demo_wave95_presentation_writeback.py,ceremony,True,True,False,True,0,0.4202,203,False
src/demo_wave96_presentation_writeback.py,ceremony,True,True,False,True,0,0.4163,203,False
src/demo_wave97_presentation_writeback.py,ceremony,True,True,False,True,0,0.4167,203,False
src/demo_wave98_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave99_presentation_writeback.py,ceremony,True,True,False,True,0,0.4157,203,False
src/demo_wave9_presentation_writeback.py,ceremony,True,True,False,True,0,0.4132,203,False
src/error_type_boundary_report.py,substance,False,True,False,True,2,0.2762,249,False
src/evaluate_cer.py,substance,False,False,False,True,4,0.2056,308,False
src/evaluate_cpcer_lite.py,substance,False,False,True,True,4,0.2713,399,False
src/evaluate_error_types.py,substance,False,False,True,True,12,0.3003,405,False
src/evaluate_speaker_cer.py,substance,False,False,True,True,4,0.3042,387,False
src/evaluate_summary.py,substance,False,False,False,False,0,0.5988,10,False
src/evaluate_synthetic_benchmark.py,substance,False,False,True,True,0,0.2508,338,False
src/evaluate_synthetic_routing.py,substance,False,False,False,True,4,0.3253,443,False
src/export_meeteval_compatibility.py,substance,False,True,False,True,2,0.4271,766,False
src/external_validation_aishell4_excerpt_fetch.py,substance,False,True,False,True,0,0.2667,168,False
src/external_validation_audio_excerpt_staging_plan.py,substance,False,True,False,True,0,0.3842,211,False
src/external_validation_candidates.py,substance,False,True,False,True,0,0.5019,500,False
src/external_validation_go_no_go_board.py,ceremony,True,True,False,True,2,0.4272,392,False
src/external_validation_license_confirmation.py,substance,False,True,False,True,0,0.3759,189,False
src/external_validation_license_confirmation_receipt_bridge.py,ceremony,True,True,False,True,0,0.4948,113,False
src/external_validation_license_confirmation_receipt_bridge_checklist.py,ceremony,True,True,False,True,0,0.4991,115,False
src/external_validation_license_confirmation_scaffold.py,ceremony,True,True,False,True,0,0.4763,162,False
src/external_validation_license_confirmation_scaffold_bridge_checklist.py,ceremony,True,True,False,True,0,0.4983,111,False
src/external_validation_license_gate.py,substance,False,True,False,True,0,0.4834,155,False
src/external_validation_license_gate_bridge_checklist.py,ceremony,True,True,False,True,0,0.4684,112,False
src/external_validation_mini_sanity_check.py,substance,False,True,False,True,0,0.3322,171,False
src/external_validation_narrow_audio_eval.py,substance,False,False,True,True,0,0.2867,237,False
src/external_validation_narrow_audio_eval_receipt.py,ceremony,True,True,False,True,0,0.3965,150,False
src/external_validation_narrow_slice_coordination_writeback.py,ceremony,True,False,True,True,0,0.5142,281,False
src/external_validation_slice_manifest.py,substance,False,True,False,True,0,0.4559,148,False
src/external_validation_slice_manifest_bridge_checklist.py,ceremony,True,True,False,True,0,0.4697,107,False
