resample,threshold,oob_cpwer,n_oob,n_escalated_oob,oob_fraction,escalation_fraction_oob
843,0.01,0.850557,25,21,0.324675,0.84
844,0.01,0.802148,25,19,0.324675,0.76
845,0.01,0.795635,30,25,0.38961,0.833333
846,0.01,0.853747,27,20,0.350649,0.740741
847,0.01,0.76107,30,27,0.38961,0.9
848,0.01,0.818025,28,24,0.363636,0.857143
849,0.01,0.777648,29,22,0.376623,0.758621
850,0.01,0.772641,29,24,0.376623,0.827586
851,0.01,0.726632,30,26,0.38961,0.866667
852,0.01,0.764792,28,18,0.363636,0.642857
853,0.01,0.849281,31,28,0.402597,0.903226
854,0.01,0.859,26,22,0.337662,0.846154
855,0.01,0.730947,33,26,0.428571,0.787879
856,0.01,0.854982,26,20,0.337662,0.769231
857,0.01,0.636027,29,26,0.376623,0.896552
858,0.01,0.842992,27,24,0.350649,0.888889
859,0.01,0.695179,31,26,0.402597,0.83871
860,0.01,0.793911,28,22,0.363636,0.785714
861,0.01,0.853607,27,23,0.350649,0.851852
862,0.01,0.78831,22,16,0.285714,0.727273
863,0.01,0.780065,29,23,0.376623,0.793103
864,0.01,0.754785,26,21,0.337662,0.807692
865,0.01,0.744615,31,27,0.402597,0.870968
866,3.22,0.886611,32,23,0.415584,0.71875
867,0.01,0.765497,33,27,0.428571,0.818182
868,0.01,0.755754,27,25,0.350649,0.925926
869,0.01,0.802291,29,21,0.376623,0.724138
870,0.01,0.865957,26,20,0.337662,0.769231
871,0.01,0.648901,21,20,0.272727,0.952381
872,0.01,0.799744,29,23,0.376623,0.793103
873,0.01,0.746403,25,21,0.324675,0.84
874,0.01,0.733149,31,26,0.402597,0.83871
875,0.01,0.78022,30,24,0.38961,0.8
876,0.01,0.823114,29,23,0.376623,0.793103
877,3.31,1.03873,26,17,0.337662,0.653846
878,0.01,0.743841,33,28,0.428571,0.848485
879,0.01,0.820645,35,28,0.454545,0.8
880,0.01,0.879143,25,20,0.324675,0.8
881,0.01,0.814464,23,18,0.298701,0.782609
882,0.01,0.870582,25,20,0.324675,0.8
883,0.01,0.65297,33,30,0.428571,0.909091
884,0.01,0.816921,29,24,0.376623,0.827586
885,0.01,0.786185,27,24,0.350649,0.888889
886,0.01,0.827033,28,22,0.363636,0.785714
887,0.01,0.770891,28,24,0.363636,0.857143
888,0.01,0.854928,27,23,0.350649,0.851852
889,0.01,0.766405,29,26,0.376623,0.896552
890,0.01,0.732114,27,22,0.350649,0.814815
891,0.01,0.836827,31,23,0.402597,0.741935
892,0.01,0.702811,30,27,0.38961,0.9
893,3.22,0.919439,27,22,0.350649,0.814815
894,0.01,0.755014,25,20,0.324675,0.8
895,0.01,0.788861,28,21,0.363636,0.75
896,0.01,0.769662,28,23,0.363636,0.821429
897,0.01,0.756399,30,25,0.38961,0.833333
898,0.01,0.759654,31,25,0.402597,0.806452
899,0.01,0.774583,24,19,0.311688,0.791667
900,0.01,0.830854,28,22,0.363636,0.785714
901,0.01,0.87556,26,20,0.337662,0.769231
902,0.01,0.816707,28,25,0.363636,0.892857
903,0.01,0.806917,26,21,0.337662,0.807692
904,0.01,0.821971,25,22,0.324675,0.88
905,0.01,0.77221,28,23,0.363636,0.821429
906,0.01,0.713628,26,21,0.337662,0.807692
907,0.01,0.746845,30,26,0.38961,0.866667
908,0.01,0.830427,33,25,0.428571,0.757576
909,0.01,0.791319,28,23,0.363636,0.821429
910,0.01,0.743957,27,23,0.350649,0.851852
911,0.01,0.714854,26,24,0.337662,0.923077
912,0.01,0.862747,28,21,0.363636,0.75
913,0.01,0.830532,25,22,0.324675,0.88
914,0.01,0.811032,26,21,0.337662,0.807692
915,0.01,0.760185,23,18,0.298701,0.782609
916,0.01,0.713495,23,21,0.298701,0.913043
917,0.01,0.800391,30,25,0.38961,0.833333
918,0.01,0.745418,27,20,0.350649,0.740741
919,0.01,0.716372,26,21,0.337662,0.807692
920,0.01,0.803916,30,26,0.38961,0.866667
921,0.01,0.805689,24,21,0.311688,0.875
922,0.01,0.802752,26,22,0.337662,0.846154
923,3.22,0.957485,29,21,0.376623,0.724138
924,0.01,0.763448,30,27,0.38961,0.9
925,0.01,0.826321,32,23,0.415584,0.71875
926,0.01,0.815342,27,22,0.350649,0.814815
927,0.01,0.66566,26,20,0.337662,0.769231
928,0.01,0.870734,25,17,0.324675,0.68
929,3.31,1.082314,30,19,0.38961,0.633333
930,0.01,0.73695,26,21,0.337662,0.807692
931,0.01,0.77115,26,23,0.337662,0.884615
932,0.01,0.770801,28,26,0.363636,0.928571
933,0.01,0.701216,29,26,0.376623,0.896552
934,0.01,0.779174,31,26,0.402597,0.83871
935,0.01,0.744911,32,24,0.415584,0.75
936,0.01,0.713603,29,24,0.376623,0.827586
937,0.01,0.744777,31,23,0.402597,0.741935
938,0.01,0.773068,27,22,0.350649,0.814815
939,0.01,0.746887,30,25,0.38961,0.833333
940,0.01,0.848229,27,25,0.350649,0.925926
941,0.01,0.779382,26,23,0.337662,0.884615
942,3.22,0.924954,28,20,0.363636,0.714286
943,0.01,0.898142,29,23,0.376623,0.793103
944,0.01,0.799744,29,23,0.376623,0.793103
945,0.01,0.757867,25,20,0.324675,0.8
946,3.31,0.908145,24,16,0.311688,0.666667
947,0.01,0.834829,30,26,0.38961,0.866667
948,0.01,0.796486,34,28,0.441558,0.823529
949,0.01,0.661335,28,24,0.363636,0.857143
950,0.01,0.849597,27,24,0.350649,0.888889
951,0.01,0.698843,29,24,0.376623,0.827586
952,0.01,0.847415,28,22,0.363636,0.785714
953,0.01,0.766369,27,24,0.350649,0.888889
954,0.01,0.778352,27,22,0.350649,0.814815
955,0.01,0.767754,25,22,0.324675,0.88
956,0.01,0.791912,31,24,0.402597,0.774194
957,0.01,0.757767,25,22,0.324675,0.88
958,3.22,0.822378,24,17,0.311688,0.708333
959,0.01,0.785072,29,21,0.376623,0.724138
960,0.01,0.703464,28,22,0.363636,0.785714
