con,pro,overlap_ratio,track,cure,cer,max_compression_ratio,repetition,n_segments
con_002.wav,pro_008.wav,0.0,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.0,spk2,beam5,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.05,spk1,greedy_baseline,0.454545,0.8478,0,1
con_002.wav,pro_008.wav,0.05,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.05,spk1,halluc_silence,0.454545,0.8478,0,1
con_002.wav,pro_008.wav,0.05,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.05,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.05,spk2,greedy_baseline,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.05,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.05,spk2,halluc_silence,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.05,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.05,spk2,beam5,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.1,spk1,greedy_baseline,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.1,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.1,spk1,halluc_silence,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.1,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.1,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.1,spk2,greedy_baseline,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.1,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.1,spk2,halluc_silence,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.1,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.1,spk2,beam5,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.15,spk1,greedy_baseline,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.15,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.15,spk1,halluc_silence,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.15,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.15,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.15,spk2,greedy_baseline,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.15,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.15,spk2,halluc_silence,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.15,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.15,spk2,beam5,0.4,0.7317,0,1
con_002.wav,pro_008.wav,0.2,spk1,greedy_baseline,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.2,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.2,spk1,halluc_silence,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.2,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.2,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.2,spk2,greedy_baseline,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.2,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.2,spk2,halluc_silence,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.2,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.2,spk2,beam5,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.25,spk1,greedy_baseline,0.454545,0.8478,0,1
con_002.wav,pro_008.wav,0.25,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.25,spk1,halluc_silence,0.454545,0.8478,0,1
con_002.wav,pro_008.wav,0.25,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.25,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.25,spk2,greedy_baseline,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.25,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.25,spk2,halluc_silence,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.25,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.25,spk2,beam5,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.3,spk1,greedy_baseline,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.3,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.3,spk1,halluc_silence,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.3,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.3,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.3,spk2,greedy_baseline,0.1,0.7105,0,1
con_002.wav,pro_008.wav,0.3,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.3,spk2,halluc_silence,0.1,0.7105,0,1
