window_id,overlap_ratio,overlap_label,num_speakers,tiny_sep_cpwer,base_sep_cpwer,tiny_sep_char_cer,base_sep_char_cer,tiny_mix_cpwer,base_mix_cpwer,kl_sep,kl_mix,mix_ratio_bucket,cascade_escalated_sep
12,0.0,NoOverlap,1,1.0,0.4280312679139982,0.6917808219178082,0.29610382232406723,1.0,0.5186334211037955,3.771861540437126,3.372330741124901,0.0,True
13,0.0,NoOverlap,1,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.5186334211037955,0.0,0.0,0.0,False
14,0.0209,NoOverlap,2,1.0,0.4280312679139982,0.8659217877094972,0.37064160070765206,1.0,0.5186334211037955,3.601878206049565,3.1895292152472026,0.0,True
15,0.0,NoOverlap,2,1.0,0.4280312679139982,0.994535519125683,0.4256922992368725,1.0,0.5186334211037955,8.52545893583327,0.0,0.0,True
16,0.1008,LightOverlap,2,1.0,0.4280312679139982,0.905940594059406,0.3877709011300083,1.0,0.48259565606347243,3.211825859485901,0.0,0.15,False
17,0.3831,MidOverlap,3,1.3333333333333333,0.5707083572186642,0.8848920863309353,0.3787614816792934,1.0,0.22560530248132618,3.338720993887697,0.0,0.35,True
18,0.5379,HeavyOverlap,3,1.6666666666666667,0.7133854465233304,0.8771331058020477,0.3754403954057936,1.0,0.7538956439264983,3.145629485009146,0.0,0.6,False
19,0.1081,LightOverlap,2,1.0,0.4280312679139982,0.8625592417061612,0.369202325878425,1.0,0.48259565606347243,3.7226611445688254,3.438785007244084,0.15,True
20,0.0738,LightOverlap,2,2.0,0.8560625358279964,0.8983050847457628,0.38450266439732045,1.0,0.5186334211037955,3.6033764441138763,0.0,0.0,True
21,0.005,NoOverlap,2,1.5,0.6420469018709973,1.0,0.4280312679139982,1.0,0.5186334211037955,6.579548786777956,0.0,0.0,True
22,0.0,NoOverlap,2,2.0,0.8560625358279964,0.4915254237288136,0.2103882503306093,1.0,0.5186334211037955,3.7532534649424973,3.3091661829690686,0.0,True
23,0.018,NoOverlap,2,3.0,1.2840938037419947,0.9785714285714285,0.4188591693158411,1.0,0.5186334211037955,3.3488921665478766,0.0,0.0,True
24,0.1231,LightOverlap,2,1.0,0.4280312679139982,0.9943502824858758,0.4256130121630717,1.0,0.48259565606347243,7.629579201219242,0.0,0.15,True
25,0.1261,LightOverlap,2,1.5,0.6420469018709973,0.6554621848739496,0.28055831006127613,1.0,0.48259565606347243,3.0959050259089334,2.938247519593724,0.15,False
26,0.0403,NoOverlap,2,3.5,1.4981094376989936,0.7802690582959642,0.3339795543364829,1.0,0.5186334211037955,3.201896237538498,3.0809029310972367,0.0,False
27,0.0,NoOverlap,1,1.0,0.4280312679139982,0.6962025316455697,0.2979964523451886,1.0,0.5186334211037955,3.303550921120999,2.925233562920705,0.0,True
28,0.0,NoOverlap,3,2.0,0.8560625358279964,0.9537037037037037,0.4082150055105724,1.0,0.5186334211037955,4.697294484062256,0.0,0.0,True
29,0.1072,LightOverlap,2,1.0,0.4280312679139982,0.8680555555555556,0.3715549200642346,2.0,0.9651913121269449,4.686485404868513,3.657387748199753,0.15,True
30,0.0,NoOverlap,1,2.0,0.8560625358279964,0.8026905829596412,0.3435766679668416,1.0,0.5186334211037955,3.3814691988565455,2.891065788499277,0.0,True
31,0.0,NoOverlap,2,2.5,1.0700781697849955,0.9638009049773756,0.41253692337412495,1.5,0.7779501316556933,3.990751729512602,3.941053121587499,0.0,True
32,0.0705,LightOverlap,3,1.3333333333333333,0.5707083572186642,0.8040201005025126,0.34414574304643075,1.3333333333333333,0.6915112281383939,3.712510275535157,4.691942283644906,0.0,True
33,0.4087,MidOverlap,3,2.6666666666666665,1.1414167144373284,0.9473684210526315,0.4055033064448404,1.0,0.22560530248132618,3.6048523942271995,3.6401463827657787,0.35,True
34,0.0605,LightOverlap,3,1.0,0.4280312679139982,0.9779005524861878,0.4185720133744623,1.0,0.5186334211037955,4.435413880900117,3.4190118286085407,0.0,True
35,0.0,NoOverlap,1,2.0,0.8560625358279964,0.9622641509433962,0.41187914459648883,1.0,0.5186334211037955,4.355649085294065,0.0,0.0,True
36,0.0,NoOverlap,1,1.0,0.4280312679139982,0.672514619883041,0.28785728543923855,1.0,0.5186334211037955,3.6511368258039094,3.3615321391423985,0.0,True
37,0.0,NoOverlap,1,1.0,0.4280312679139982,0.626984126984127,0.2683688108349671,1.0,0.5186334211037955,3.5640618679668306,3.3142516618053715,0.0,True
38,0.0,NoOverlap,1,1.0,0.4280312679139982,0.7985611510791367,0.3418091420032648,1.0,0.5186334211037955,4.0205420548960085,3.496335222273434,0.0,True
39,0.0,NoOverlap,1,1.0,0.4280312679139982,0.6744186046511628,0.2886722504536267,1.0,0.5186334211037955,4.2738675200831775,3.8049200374383028,0.0,True
40,0.0,NoOverlap,1,1.0,0.4280312679139982,0.5,0.2140156339569991,6.0,3.111800526622773,4.08475488587734,3.9149082817254257,0.0,True
41,0.0,NoOverlap,2,1.5,0.6420469018709973,0.9469026548672567,0.4053039439539629,1.0,0.5186334211037955,3.987300241478503,3.522337741290849,0.0,True
42,0.028,NoOverlap,2,3.0,1.2840938037419947,0.9835164835164835,0.4209758074538773,1.5,0.7779501316556933,4.152800906585574,3.631244190727518,0.0,True
43,0.3961,MidOverlap,3,1.6666666666666667,0.7133854465233304,0.92018779342723,0.3938691479396415,1.0,0.22560530248132618,3.36684249214028,3.1023606298933695,0.35,True
44,0.3185,MidOverlap,3,1.0,0.4280312679139982,0.8660287081339713,0.3706873659925056,1.0,0.22560530248132618,3.9545714391060685,3.641892429499571,0.35,True
45,0.0615,LightOverlap,4,3.25,1.3911016207204943,0.949238578680203,0.40630379238536884,1.0,0.5186334211037955,3.4758569802253443,3.1789833081158516,0.0,True
46,0.0,NoOverlap,2,1.0,0.4280312679139982,0.8224852071005917,0.3520493860357737,1.0,0.5186334211037955,4.177727329279964,3.712119666971631,0.0,True
47,0.0954,LightOverlap,4,2.0,0.8560625358279964,0.9707602339181286,0.41551573376446604,1.0,0.48259565606347243,3.6661841056331115,0.0,0.15,True
48,0.347,MidOverlap,3,2.0,0.8560625358279964,0.9502487562189055,0.40673617995807787,1.0,0.22560530248132618,3.328708702401153,3.0771368581743515,0.35,True
49,0.1363,LightOverlap,4,2.0,0.8560625358279964,0.8604651162790697,0.3683059747166961,1.0,0.48259565606347243,3.4830666095635867,0.0,0.15,True
50,0.223,MidOverlap,2,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.48259565606347243,0.0,0.0,0.15,False
51,0.1579,LightOverlap,3,2.0,0.8560625358279964,0.9598393574297188,0.41084125715439984,1.0,0.48259565606347243,3.2217567784984698,4.1528551798203495,0.15,False
52,0.1051,LightOverlap,3,1.0,0.4280312679139982,0.7413793103448276,0.31733352621210215,1.0,0.48259565606347243,3.5133457631407556,3.2927497767765197,0.15,True
53,0.0806,LightOverlap,2,3.0,1.2840938037419947,0.9591836734693877,0.4105606039175085,1.0,0.48259565606347243,3.779832958067823,0.0,0.15,True
54,0.0589,LightOverlap,2,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.5186334211037955,0.0,0.0,0.0,False
55,0.2398,MidOverlap,3,1.3333333333333333,0.5707083572186642,0.941747572815534,0.40309740764716334,1.0,0.48259565606347243,3.7823924851010795,0.0,0.15,True
