pair_id,overlap_ratio,snr_db,cer_mixed,cer_sep,cer_sep_trim,cr_sep1,cr_sep1_trim
4,0.6,None,0.8,0.5,0.5,0.7105,0.75
4,0.6,20.0,0.65,0.6,0.6,0.7317,0.7317
4,0.6,10.0,0.75,0.6,0.6,0.7317,0.7317
4,0.6,5.0,0.8,0.7,0.7,0.7692,0.7692
4,0.6,0.0,0.95,1.2,1.2,0.7925,0.7925
4,0.9,None,0.8,0.5,0.5,0.7317,0.75
4,0.9,20.0,0.8,0.7,0.7,0.7317,0.7317
4,0.9,10.0,0.85,0.65,0.65,0.7692,0.7692
4,0.9,5.0,0.9,0.7,0.7,0.75,0.75
4,0.9,0.0,1.0,0.9,0.9,0.766,0.766
5,0.0,None,0.529412,0.588235,0.470588,0.7105,0.7105
5,0.0,20.0,0.529412,0.588235,0.588235,0.7179,0.7179
5,0.0,10.0,0.705882,0.588235,0.588235,0.7381,0.7381
5,0.0,5.0,0.823529,0.705882,0.705882,0.725,0.725
5,0.0,0.0,0.941176,6.882353,6.882353,15.3182,15.3182
5,0.1,None,0.352941,11.647059,0.470588,0.7105,0.7105
5,0.1,20.0,0.529412,0.588235,0.588235,0.6857,0.6857
5,0.1,10.0,0.705882,0.764706,0.764706,0.6667,0.6667
5,0.1,5.0,1.0,0.705882,0.705882,0.7381,0.7381
5,0.1,0.0,1.0,0.941176,0.941176,0.7037,0.7037
5,0.2,None,0.647059,0.647059,0.470588,0.7105,0.7105
5,0.2,20.0,0.529412,0.352941,0.352941,0.7179,0.7179
5,0.2,10.0,0.823529,0.705882,0.705882,0.725,0.725
5,0.2,5.0,0.882353,0.941176,0.941176,0.7179,0.7179
5,0.2,0.0,1.0,0.941176,0.941176,0.6944,0.6944
5,0.4,None,0.705882,0.647059,0.470588,0.7105,0.7105
5,0.4,20.0,0.705882,0.529412,0.529412,0.6857,0.6857
5,0.4,10.0,0.882353,0.705882,0.705882,0.6667,0.6667
5,0.4,5.0,0.941176,0.764706,0.764706,0.7179,0.7179
5,0.4,0.0,0.941176,0.941176,0.941176,0.7907,0.7907
5,0.6,None,0.823529,0.529412,0.470588,0.7105,0.7105
5,0.6,20.0,0.941176,0.470588,0.470588,0.7105,0.7105
5,0.6,10.0,0.882353,0.647059,0.647059,0.625,0.625
5,0.6,5.0,0.941176,0.823529,0.823529,0.6786,0.6786
5,0.6,0.0,0.941176,0.941176,0.941176,0.775,0.775
5,0.9,None,0.941176,0.470588,0.470588,0.75,0.7105
5,0.9,20.0,0.882353,0.529412,0.529412,0.7105,0.7105
5,0.9,10.0,0.941176,0.529412,0.529412,0.7381,0.7381
5,0.9,5.0,0.941176,0.764706,0.764706,0.725,0.725
