pair_id,overlap_ratio,snr_db,cr_sep1,cr_sep2,cer_mixed,cer_sep,cer_energy_trim,cer_flatness_gate,cer_flatness_relenergy_gate,fired_energy_trim,fired_flatness_gate,fired_flatness_relenergy_gate
3,0.3,20.0,0.625,0.7317,0.666667,0.444444,0.444444,0.444444,0.444444,0,1,1
3,0.3,10.0,0.6667,0.75,0.777778,0.777778,0.777778,0.722222,0.611111,0,1,1
3,0.3,5.0,0.625,0.7317,0.833333,0.611111,0.611111,0.555556,0.555556,0,1,1
3,0.3,0.0,0.7714,0.766,0.944444,0.777778,0.777778,0.777778,0.944444,0,0,1
3,0.6,None,0.6667,0.7317,0.666667,0.444444,0.444444,0.444444,0.444444,1,1,1
3,0.6,20.0,0.625,0.7317,0.722222,0.611111,0.611111,0.444444,0.444444,0,1,1
3,0.6,10.0,0.6562,0.7317,0.833333,0.666667,0.666667,0.888889,0.888889,0,1,1
3,0.6,5.0,0.7241,0.7317,12.444444,0.777778,0.777778,0.555556,0.555556,0,1,1
3,0.6,0.0,0.6818,0.6857,0.888889,0.833333,0.833333,0.833333,0.777778,0,1,1
4,0.0,None,0.7105,0.75,0.65,0.6,0.5,0.45,0.45,1,1,1
4,0.0,20.0,0.7105,0.75,0.6,0.55,0.55,0.55,0.55,0,1,1
4,0.0,10.0,0.7692,0.75,0.6,0.7,0.7,0.75,0.75,0,1,1
4,0.0,5.0,0.766,0.6923,0.6,0.9,0.9,0.75,0.75,0,1,1
4,0.0,0.0,0.8478,1.2353,1.15,1.15,1.15,1.15,1.05,0,1,1
4,0.1,None,0.7105,0.766,0.65,0.7,0.5,0.5,0.5,1,1,1
4,0.1,20.0,0.75,0.75,0.75,0.5,0.5,0.45,0.45,0,1,1
4,0.1,10.0,0.75,0.766,0.6,0.55,0.55,0.55,0.3,0,1,1
4,0.1,5.0,0.766,0.75,0.6,0.65,0.65,0.35,0.35,0,1,1
4,0.1,0.0,0.8226,19.6765,0.85,11.95,11.95,11.95,1.25,0,1,1
4,0.3,None,0.7105,0.75,0.8,0.6,0.5,0.3,0.3,1,1,1
4,0.3,20.0,0.7105,0.75,0.6,0.65,0.65,0.6,0.6,0,1,1
4,0.3,10.0,0.75,0.75,0.5,0.5,0.5,0.6,0.6,0,1,1
